doc_id,date,source,type
0,2023-01-03,schoolsweek,ed_journalism
1,2023-01-04,gov,gov_inst
2,2023-01-04,fft,ed_res_org
3,2023-01-04,gov,gov_inst
4,2023-01-05,schoolsweek,ed_journalism
5,2023-01-05,gov,gov_inst
6,2023-01-06,schoolsweek,ed_journalism
7,2023-01-06,schoolsweek,ed_journalism
8,2023-01-06,schoolsweek,ed_journalism
9,2023-01-06,schoolsweek,ed_journalism
10,2023-01-06,schoolsweek,ed_journalism
11,2023-01-08,schoolsweek,ed_journalism
12,2023-01-08,schoolsweek,ed_journalism
13,2023-01-09,gov,gov_inst
14,2023-01-09,schoolsweek,ed_journalism
15,2023-01-09,schoolsweek,ed_journalism
16,2023-01-09,schoolsweek,ed_journalism
17,2023-01-09,schoolsweek,ed_journalism
18,2023-01-09,schoolsweek,ed_journalism
19,2023-01-09,schoolsweek,ed_journalism
20,2023-01-09,schoolsweek,ed_journalism
21,2023-01-10,schoolsweek,ed_journalism
22,2023-01-10,schoolsweek,ed_journalism
23,2023-01-10,gov,gov_inst
24,2023-01-10,schoolsweek,ed_journalism
25,2023-01-10,fft,ed_res_org
26,2023-01-11,nuffield,think_tank
27,2023-01-11,gov,gov_inst
28,2023-01-11,gov,gov_inst
29,2023-01-11,schoolsweek,ed_journalism
30,2023-01-11,schoolsweek,ed_journalism
31,2023-01-12,schoolsweek,ed_journalism
32,2023-01-12,schoolsweek,ed_journalism
33,2023-01-12,schoolsweek,ed_journalism
34,2023-01-13,schoolsweek,ed_journalism
35,2023-01-13,schoolsweek,ed_journalism
36,2023-01-13,schoolsweek,ed_journalism
37,2023-01-13,schoolsweek,ed_journalism
38,2023-01-13,schoolsweek,ed_journalism
39,2023-01-14,schoolsweek,ed_journalism
40,2023-01-16,schoolsweek,ed_journalism
41,2023-01-16,schoolsweek,ed_journalism
42,2023-01-16,schoolsweek,ed_journalism
43,2023-01-16,schoolsweek,ed_journalism
44,2023-01-16,schoolsweek,ed_journalism
45,2023-01-16,schoolsweek,ed_journalism
46,2023-01-17,nuffield,think_tank
47,2023-01-17,schoolsweek,ed_journalism
48,2023-01-17,schoolsweek,ed_journalism
49,2023-01-17,schoolsweek,ed_journalism
50,2023-01-17,schoolsweek,ed_journalism
51,2023-01-18,gov,gov_inst
52,2023-01-18,schoolsweek,ed_journalism
53,2023-01-18,gov,gov_inst
54,2023-01-18,schoolsweek,ed_journalism
55,2023-01-19,schoolsweek,ed_journalism
56,2023-01-19,schoolsweek,ed_journalism
57,2023-01-19,gov,gov_inst
58,2023-01-20,gov,gov_inst
59,2023-01-20,nuffield,think_tank
60,2023-01-20,schoolsweek,ed_journalism
61,2023-01-20,schoolsweek,ed_journalism
62,2023-01-20,schoolsweek,ed_journalism
