doc_id,topic,topic_label,organisation,org_type,date
0,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-03
1,9,DfE intervention and academy warnings,gov,gov_inst,2023-01-04
2,-1,Outlier / noise,fft,ed_res_org,2023-01-04
3,17,Local authorities and education oversight,gov,gov_inst,2023-01-04
4,2,Teacher recruitment and workforce supply,schoolsweek,ed_journalism,2023-01-05
5,13,"Skills, apprenticeships, and employment pathways",gov,gov_inst,2023-01-05
6,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-06
7,1,Pupil attainment and exam results,schoolsweek,ed_journalism,2023-01-06
8,7,Pupil attendance and absence,schoolsweek,ed_journalism,2023-01-06
9,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-06
10,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-06
11,4,Academy trusts and school governance,schoolsweek,ed_journalism,2023-01-08
12,18,Education ministers and political leadership,schoolsweek,ed_journalism,2023-01-08
13,12,School funding and education budgets,gov,gov_inst,2023-01-09
14,5,School buildings and RAAC safety,schoolsweek,ed_journalism,2023-01-09
15,5,School buildings and RAAC safety,schoolsweek,ed_journalism,2023-01-09
16,5,School buildings and RAAC safety,schoolsweek,ed_journalism,2023-01-09
17,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-09
18,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-09
19,12,School funding and education budgets,schoolsweek,ed_journalism,2023-01-09
20,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-09
21,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-10
22,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-10
23,22,Qualifications reform and T Levels,gov,gov_inst,2023-01-10
24,22,Qualifications reform and T Levels,schoolsweek,ed_journalism,2023-01-10
25,21,Pupil suspensions and exclusions,fft,ed_res_org,2023-01-10
26,14,Education research and evidence foundations,nuffield,think_tank,2023-01-11
27,12,School funding and education budgets,gov,gov_inst,2023-01-11
28,17,Local authorities and education oversight,gov,gov_inst,2023-01-11
29,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-11
30,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-11
31,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-12
32,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-12
33,7,Pupil attendance and absence,schoolsweek,ed_journalism,2023-01-12
34,0,Ofsted inspections and accountability,schoolsweek,ed_journalism,2023-01-13
35,3,Special educational needs and SEND provision,schoolsweek,ed_journalism,2023-01-13
36,6,Guidance for schools and children,schoolsweek,ed_journalism,2023-01-13
37,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-13
38,0,Ofsted inspections and accountability,schoolsweek,ed_journalism,2023-01-13
39,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-14
40,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-16
41,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-16
42,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-16
43,2,Teacher recruitment and workforce supply,schoolsweek,ed_journalism,2023-01-16
44,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-16
45,0,Ofsted inspections and accountability,schoolsweek,ed_journalism,2023-01-16
46,14,Education research and evidence foundations,nuffield,think_tank,2023-01-17
47,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-17
48,4,Academy trusts and school governance,schoolsweek,ed_journalism,2023-01-17
49,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-17
50,0,Ofsted inspections and accountability,schoolsweek,ed_journalism,2023-01-17
51,17,Local authorities and education oversight,gov,gov_inst,2023-01-18
52,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-18
53,0,Ofsted inspections and accountability,gov,gov_inst,2023-01-18
54,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-18
55,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-19
56,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-19
57,22,Qualifications reform and T Levels,gov,gov_inst,2023-01-19
58,-1,Outlier / noise,gov,gov_inst,2023-01-20
59,14,Education research and evidence foundations,nuffield,think_tank,2023-01-20
60,20,SEND funding pressures and council deficits,schoolsweek,ed_journalism,2023-01-20
61,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-20
62,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-20
63,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-20
64,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-20
65,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-20
66,0,Ofsted inspections and accountability,schoolsweek,ed_journalism,2023-01-20
67,8,Academy trust statements and responses,schoolsweek,ed_journalism,2023-01-20
68,2,Teacher recruitment and workforce supply,schoolsweek,ed_journalism,2023-01-20
69,9,DfE intervention and academy warnings,gov,gov_inst,2023-01-20
70,23,Outlier / noise,schoolsweek,ed_journalism,2023-01-21
71,4,Academy trusts and school governance,schoolsweek,ed_journalism,2023-01-21
72,8,Academy trust statements and responses,schoolsweek,ed_journalism,2023-01-23
73,7,Pupil attendance and absence,schoolsweek,ed_journalism,2023-01-23
74,0,Ofsted inspections and accountability,schoolsweek,ed_journalism,2023-01-24
75,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-24
76,1,Pupil attainment and exam results,fft,ed_res_org,2023-01-24
77,0,Ofsted inspections and accountability,gov,gov_inst,2023-01-24
78,1,Pupil attainment and exam results,fft,ed_res_org,2023-01-25
79,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-25
80,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-25
81,14,Education research and evidence foundations,nuffield,think_tank,2023-01-25
82,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-25
83,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-26
84,2,Teacher recruitment and workforce supply,schoolsweek,ed_journalism,2023-01-26
85,4,Academy trusts and school governance,schoolsweek,ed_journalism,2023-01-26
86,-1,Outlier / noise,gov,gov_inst,2023-01-26
87,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-26
88,0,Ofsted inspections and accountability,schoolsweek,ed_journalism,2023-01-26
89,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-26
90,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-27
91,-1,Outlier / noise,gov,gov_inst,2023-01-27
92,0,Ofsted inspections and accountability,schoolsweek,ed_journalism,2023-01-27
93,0,Ofsted inspections and accountability,fft,ed_res_org,2023-01-27
94,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-27
95,-1,Outlier / noise,schoolsweek,ed_journalism,2023-01-27
96,22,Qualifications reform and T Levels,schoolsweek,ed_journalism,2023-01-27
97,1,Pupil attainment and exam results,fft,ed_res_org,2023-01-27
98,0,Ofsted inspections and accountability,schoolsweek,ed_journalism,2023-01-28
99,4,Academy trusts and school governance,schoolsweek,ed_journalism,2023-01-29
100,10,"Teacher pay, unions, and industrial action",schoolsweek,ed_journalism,2023-01-30
101,0,Ofsted inspections and accountability,gov,gov_inst,2023-01-30
